Date,T100ECMU Index,SPGSCIP Index,LBUSTRUU Index,SPXT Index
4/14/03,37.07,429.6097,1123.73,1275.8231
4/15/03,37.45,435.8206,1126.42,1283.963
4/16/03,37.5,435.5016,1127.98,1268.2803
4/17/03,37.8,444.2595,1127.67,1287.9893
4/21/03,37.76,446.9376,1127.72,1285.7164
4/22/03,37.41,439.8808,1128.08,1313.6321
4/23/03,37.05,428.6953,1128.6899,1324.6802
4/24/03,37.04,427.3931,1132.55,1313.7489
4/25/03,36.96,425.3991,1133.8,1295.5723
4/28/03,36.77,414.8755,1133.73,1318.8521
4/29/03,36.95,412.7822,1132.78,1323.2577
4/30/03,37.05,418.7064,1137.5699,1322.0677
5/1/03,37.16,419.2507,1137.78,1321.3914
5/2/03,36.97,415.4122,1135.8,1341.2775
5/5/03,37.23,424.9968,1137.35,1336.2365
5/6/03,37.04,420.056,1141.1,1347.5436
5/7/03,37.11,425.3377,1145.25,1340.8719
5/8/03,37.24,432.6634,1146.08,1327.4169
5/9/03,37.43,441.3522,1145.65,1346.6831
5/12/03,37.56,441.513,1147.49,1363.6064
5/13/03,37.98,452.5832,1147.95,1359.7416
5/14/03,38.23,458.0499,1151.98,1355.7632
5/15/03,38.1,454.4218,1151.13,1366.5852
5/16/03,38.03,456.5536,1154.1801,1363.3177
5/19/03,37.71,450.2474,1154.36,1329.3795
5/20/03,37.8,451.179,1157.49,1327.873
5/21/03,37.99,457.805,1156.41,1333.3286
5/22/03,37.7,454.1874,1157.89,1345.5331
5/23/03,37.74,456.312,1158.3101,1347.4938
5/27/03,37.76,455.0636,1156.29,1373.8636
5/28/03,37.52,448.7632,1155.36,1376.575
5/29/03,37.9,453.9778,1158.86,1371.5106
5/30/03,37.95,458.4413,1158.78,1391.7245
6/2/03,38.04,468.9634,1156.3101,1396.6992
6/3/03,37.92,467.2586,1160.11,1403.2939
6/4/03,37.88,461.8063,1161.65,1424.9048
6/5/03,38.16,469.0952,1159.84,1430.6345
6/6/03,38.37,473.2732,1159.74,1427.2747
6/9/03,38.1,472.5755,1163.26,1410.2075
6/10/03,38.29,475.2846,1167,1423.1069
6/11/03,38.19,477.0969,1166.89,1441.8594
6/12/03,37.68,464.2668,1168.25,1443.4135
6/13/03,37.29,454.2373,1170.86,1429.1132
6/16/03,37.29,455.7205,1168.1899,1461.146
6/17/03,37.54,457.1068,1164.8199,1462.481
6/18/03,37.65,451.8459,1161.47,1460.3165
6/19/03,37.81,453.0334,1162.4,1438.0864
6/20/03,37.61,458.5604,1160.41,1439.5361
6/23/03,37.44,455.6986,1163.59,1419.241
6/24/03,37.45,450.4104,1165.86,1421.8579
6/25/03,37.6,461.388,1161.49,1410.0946
6/26/03,37.06,448.4154,1155.39,1425.8237
6/27/03,37.22,451.2421,1154.3,1411.9658
6/30/03,36.88,459.0683,1156.48,1409.4778
7/1/03,37.07,460.28,1155.6801,1421.0261
7/2/03,36.99,458.1216,1156.5601,1437.6141
7/3/03,36.78,459.5867,1152.63,1425.9658
7/4/03,36.83,459.5867,1152.63,1425.9658
7/7/03,36.79,459.099,1150.46,1453.0719
7/8/03,36.74,462.2608,1149.63,1458.5122
7/9/03,36.91,469.5631,1151.1,1450.5061
7/10/03,36.78,467.0287,1152.4301,1430.9604
7/11/03,36.73,468.22,1154.29,1444.6998
