DATE,SPXT,BOND,FTSE
9/9/03,1484.9296,1131.92,36.72
9/10/03,1467.2886,1137.09,36.74
9/11/03,1475.7152,1134.21,36.81
9/12/03,1478.9352,1137.22,36.54
9/15/03,1473.4338,1138.96,36.68
9/16/03,1494.5027,1137.4399,36.45
9/17/03,1489.6957,1142.1899,36.58
9/18/03,1509.4718,1142.0699,36.66
9/19/03,1504.7368,1142.73,36.84
9/22/03,1485.1614,1139.85,37.12
9/23/03,1494.1937,1141.4,37.14
9/24/03,1465.6637,1145.17,37.4
9/25/03,1457.0869,1146.64,37.46
9/26/03,1448.0311,1150.28,37.27
9/29/03,1462.1964,1148.2,37.56
9/30/03,1446.7726,1154.8,37.71
10/1/03,1479.2296,1154.8199,37.9
10/2/03,1482.3606,1151.5699,38.21
10/3/03,1496.3174,1142.7,37.88
10/6/03,1502.8615,1145.47,37.99
10/7/03,1510.0477,1141.58,38.18
10/8/03,1502.6516,1142.29,38.13
10/9/03,1509.8568,1139.98,38.44
10/10/03,1508.9979,1142.38,38.92
10/13/03,1519.5972,1142.38,39.6
10/14/03,1525.6044,1138.65,39.36
10/15/03,1521.9512,1136.8,39.36
10/16/03,1526.8022,1133.49,39.28
10/17/03,1511.1775,1136.72,39.15
10/20/03,1518.9727,1137.86,39.28
10/21/03,1520.928,1138.33,39.35
10/22/03,1498.2831,1142.14,39.66
10/23/03,1503.2618,1140.84,39.81
10/24/03,1496.1949,1145.92,39.61
10/27/03,1499.4297,1143.8,39.66
10/28/03,1522.2061,1148.02,39.81
10/29/03,1524.4136,1144.46,40.3
10/30/03,1523.1227,1141.6,40.24
10/31/03,1528.6165,1144.03,40.55
11/3/03,1540.7102,1141.26,40.23
11/4/03,1532.3362,1144.0601,40.21
11/5/03,1530.5421,1141.26,40.41
11/6/03,1539.748,1138.2,40.28
11/7/03,1533.0223,1136.77,40.22
11/10/03,1524.261,1136.48,40.28
11/11/03,1523.4697,1136.48,40.66
11/12/03,1541.4929,1140.03,40.8
