Ticker,T100ECMU Index,SPGSCIP Index,LBUSTRUU Index,SPTRENRS Index,SPTRFINL Index,SPTRINFT Index,SPTRHLTH Index,SPTRCOND Index,SPTRINDU Index,SPTRUTIL Index,SPTRCONS Index,SPTRMATR Index,SPTRTELS Index,SPXT Index
12/30/04,45.2,591.9828,1206.35,374.63,508.06,339.9583,406.31,313.67,342.45,220.34,290.68,228.79,168.14,1801.9772
12/31/04,45.08,591.6133,1208.7,375.67,508.22,339.9532,404.84,312.93,341.63,219.05,290.02,228.44,167.5,1799.5477
1/3/05,45.01,579.6564,1208.95,363.84,506.29,337.148,400.6,311.32,339.19,216.48,289.52,225.98,166.95,1784.9561
1/4/05,43.79,588.4383,1205.58,361.54,501.67,330.5072,397.64,307.45,334.47,214.72,287.83,220.88,164.58,1764.3025
1/5/05,43.89,583.5715,1205.78,360.16,500.65,328.9176,396.56,306.15,332.61,212.59,287.63,219.16,164.74,1758.0673
1/6/05,43.76,604.4365,1206.55,366.09,503.2,328.1109,399.42,304.88,334.2,213.12,289.23,220.37,165.18,1764.6262
1/7/05,43.85,603.4364,1206.26,363.15,500.72,328.885,399.53,304.35,332.79,212.52,290.64,220.95,164.95,1762.1229
1/10/05,43.66,605.1578,1206.84,365.32,501.49,329.5937,402.56,305.64,333.18,214.08,292.55,221.83,163.44,1768.1661
1/11/05,44.09,607.4077,1208.6,365.1,498.93,326.0045,400.26,303.69,331.52,213.16,291.24,219.5,162.4,1757.5056
1/12/05,44.33,609.3703,1209.62,371.29,497.83,327.9127,402.81,305.58,332.25,213.9,292.2,220.84,162.27,1764.717
1/13/05,44.25,628.2538,1212.1899,372.72,493.41,324.5747,396.26,303.13,328.64,215.05,290.25,220.06,159.79,1749.481
1/14/05,44.44,628.388,1210.55,375.98,495.27,326.327,398.45,305.91,330.92,216.62,292.07,222.25,159.48,1759.9832
1/17/05,44.48,628.388,1210.55,375.98,495.27,326.327,398.45,305.91,330.92,216.62,292.07,222.25,159.48,1759.9832
1/18/05,44.74,626.1546,1211.8101,379.67,502.73,329.2819,401.16,308.4,332.71,218.46,295.18,223.16,161.73,1777.0347
1/19/05,44.71,624.1613,1212.55,377.75,497.79,322.6234,398.72,305.55,329.7,217.73,294.71,221.52,159.58,1760.2844
1/20/05,44.55,620.2471,1214.03,374.35,494.23,319.8626,397.24,300.09,327.49,216.98,293.89,220.23,157.92,1746.6105
1/21/05,45,631.2141,1215.54,374.06,491.32,317.2019,393.84,298.67,324.73,216.01,291.46,219.23,157.81,1735.4246
1/24/05,44.94,635.7935,1216.3,377.9,491.82,313.5291,390.63,296.16,323.86,217.9,290.8,216.49,157.97,1729.3304
1/25/05,44.85,643.0846,1213.62,379.68,492.56,315.6241,393.6,296.93,327.14,216.28,291.61,217.26,156.35,1736.25
1/26/05,45.15,639.1636,1213.28,383.15,494.14,318.5353,395.71,298.44,327.72,219.63,291.18,218.03,157.3,1744.7189
1/27/05,45.14,636.6449,1212.89,385.8,492.13,319.5533,395.18,297.75,328.46,220.67,292.82,218.83,155.48,1745.5833
1/28/05,45.18,621.8174,1215.7,381.94,491.01,318.6903,391.85,296.63,328.83,221.11,293.36,219.02,155.96,1740.9629
1/31/05,45.31,630.3588,1216.29,385.96,497.23,322.1439,392.05,299.92,332.43,223.53,293.54,221.37,155.9,1755.6842
2/1/05,45.07,621.4975,1216.12,394.06,503.11,323.2381,395.95,299.52,333.41,225.3,293.8,223.11,157.42,1767.787
2/2/05,44.83,615.8024,1216.22,399.26,502.28,323.5087,397.61,300.89,333.55,226.07,296.01,225.35,158.31,1773.6267
2/3/05,44.96,610.2427,1215.5,402.2,500.71,320.3021,396.5,300.29,332.7,226.7,296.06,223.97,158.92,1769.2609
2/4/05,44.95,609.1928,1220,405.13,506.78,326.3812,399.94,302.97,334.9,229.4,298.65,226.8,161.14,1788.8153
2/7/05,44.94,598.5873,1221.58,403.1,506.36,326.0215,400.66,303.4,334.98,228.63,297.7,226.8,159.64,1786.9211
2/8/05,44.97,601.5813,1222.09,406.49,504.57,326.8588,401.24,302.65,336.51,229.47,297.33,226.42,159.73,1788.1582
2/9/05,44.97,603.6764,1224.9301,405.63,503.32,322.3942,396.81,299.63,333.3,228.65,294.78,223.42,157.67,1773.2756
2/10/05,45.56,618.9507,1221.12,414.91,505.17,322.5255,398.09,300.6,334.4,228.88,295.42,226.39,156.52,1780.8043
2/11/05,45.41,618.4583,1219.8,416.74,508.72,325.7344,402.33,302.66,336.91,228.9,296.27,228.57,157.49,1793.5398
2/14/05,45.45,620.3826,1220.8199,419.3,508.16,326.6529,402.38,302.03,336.5,231.14,296.59,229.05,157.44,1794.9807
2/15/05,45.78,620.738,1219.87,419.95,509.39,328.4382,402.46,304.45,337.83,230.3,297.4,230.24,158.3,1801.0625
2/16/05,45.69,627.4724,1217.5699,431.42,506.23,327.0148,401.41,303.97,338.06,231.47,297.6,232.98,157.76,1801.5856
2/17/05,46.03,622.3895,1216.91,426.6,501.46,322.4567,400.94,302.3,335.6,230.77,295.76,232.5,155.63,1787.4117
2/18/05,46.52,628.3851,1213.48,435.98,496.12,321.8502,407.32,301.49,335.22,227.86,295.55,234.83,155.37,1788.6544
2/21/05,46.42,628.3851,1213.48,435.98,496.12,321.8502,407.32,301.49,335.22,227.86,295.55,234.83,155.37,1788.6544
2/22/05,46.48,654.8002,1212.6,431.36,488.56,318.7041,401.64,295.82,329.91,222.16,290.59,231.46,154.5,1762.7568
2/23/05,46.6,657.3666,1213.53,438.03,492.53,317.845,404.11,297.46,330.75,223.85,291.88,234.67,155.86,1772.7628
2/24/05,46.13,658.427,1212.7,447.58,494.02,321.1629,407.31,298.14,334.71,225.94,293.64,237.76,156.64,1787.3362
